8
Level Number	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70
Type	ClearX	ReachTop	ClearX	SurviveX	ReachTop	SurviveX	ClearX	Collect	SurviveX	Totem	ReachTop	ClearX	SurviveX	ReachTop	ClearX	SurviveX	ReachTop	Collect	ReachTop	Totem	SurviveX	ClearX	Collect	ReachTop	ClearX	SurviveX	Collect	ReachTop	SurviveX	Totem	SurviveX	ReachTop	SurviveX	ClearX	ReachTop	Collect	ClearX	ReachTop	SurviveX	Totem	ReachTop	ClearX	Collect	SurviveX	ReachTop	ClearX	ReachTop	Collect	SurviveX	Totem	ReachTop	SurviveX	ClearX	Collect	ClearX	ReachTop	SurviveX	Collect	ReachTop	Totem	ClearX	SurviveX	ReachTop	Collect	SurviveX	ReachTop	ClearX	ReachTop	Totem	Endless
PreSpawnRows		10			22						14			22			17		28					22				24				42			59			47			34				60		43				76					70			49				76			29		120		
MinRowsOnScr																																																												7	7	7	7	7	7	7	7	8	7	7
SpawnRate				3.7		3.6		5	3.4				3.4			2.8		4			2.4		4			2.2	3.2		2.2		1.89		1.95			3			1.8				2.5	1.32				2.2	1.3			1.35		2			1.25	1.8				1.1		1.7	1.05					
TimeLimit		60	90	60	120	60	120	120	60	90	60	120	90	90	90	60	60	90	90	90	60	120	120	60	90	60	90	60	90	90	60	90	120	60	120	90	60	90	180	120	60	120	120	60	90	180	60	90	120	90	120	60	90	60	120	90	120	90	60	160	60	60	90	120	120	30	90	120	90	
																																																																						
CountToMatch	100		100				160					200			150							270			220									200			210					456				850							432		620						360						666			
TotemPieces										2,7,12,17										5,10,15,20										4,10,18,26										6,14,22,30,38,46										7,17,27,37,47										10,20,30,40,50,60,70,80,90									8,18,28,38,48,58,68,78	
Collectables								10										11					17				14									19							29					27						18				30						44						
																																																																						
Background	Tutorial	Home	Home	Home	Home	Home	Home	Home	Home	Home	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Mountains	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Desert	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland	Iceland
																																																																						
VertRecurrence		6			4	2	3		2			2		2																																																								
VertRecurBonus		3			2	3	2		3			3		2																																																								
VertRecurPenalty		0.5			0.5	0.5	0.5		0.5			0.5		0.5																																																								
HorizRecurrence		1			3	2	1		4			2		5																																																								
HorizRecurBonus		1			6	3	1		3			3		3																																																								
HorizRecurPenalty		0.5			0.5	0.5	0.8		0.5			0.5		0.5																																																								
^^ Defaults																																																																						
RowsBtwnWarrior												6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	5																																								
RowsBtwnMage																																																			6	6	6	6	6	6	6	6	6	6	6	6	6	6	5	5	5	5	5	
RowsBtwnPortal																															6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	9	6	5	5	5																				
																																																																						
Frozen											0.03	0.03	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.03	0.04	0.04	0.04	0.04	0.04	0.04	0.03	0.05	0.05	0.02								0.02	0.02	0.02	0.02	0.02	0.02						0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.005	0.005	0.005	0.005	0.005	0.005	0.005	
Bubble									0.05	0.05																											0.02																																	
Clone																																																															0.02	0.02	0.02	0.02	0.02	0.03	0.04	
Cloud																																												0.02	0.02	0.02	0.02	0.02	0.03	0.04	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.005	0.005	0.005	0.005	0.005	0.005	0.005	
IceGolem																																																																						
RockGolem																		0.01	0.01	0.02							0.01	0.02	0.02	0.04																																								
																																																																						
WarriorStartFrozen																												FALSE	FALSE	FALSE																																								
MageStartFrozen																																																																			FALSE	FALSE	FALSE	
PortalStartFrozen																																												FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE																				
TotemStartFrozen										FALSE																				TRUE																																								
																																																																						
Blue																																																																						
Green																																																																						
Red																																																																						
Yellow																																																																						
																																																																						
Star2Time	-1	5	10		15		15			10	5	15		10	10		5		10	10		15		5	10			5		10		10		5	15		5	10		15	5	15			10	20	5			10	15		10		10	10			5	15	5		5			3	3	3	5	
Star3Time	-1	10	20		30		30			20	10	30		20	20		10		20	20		30		10	20			10		20		20		10	30		10	20		30	10	30			20	40	10			20	30		20		20	20			15	30	10		10			6	6	6	10	
Star1Points																																																																						30000
Star2Points				100		200			300				700			800					1000					1000			2000		2000		4000						7000					3000					6000			4000					8000					6000			10000					50000
Star3Points				200		300			600				1000			1000					1500					2000			3000		3000		7000						10000					4000					9000			5000					12000					8000			15000					100000
Star2MatchLess								100										130					200				180									210							360					350						250				450						650						
Star3MatchLess								90										100					160				140									170							310					300						200				350						550						
																																																																						
AdPoints	0	0	0	0	0	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33	33
